"Erythroxylum_umbu";"Ouratea_parviflora";"Calophyllum_brasiliense";"Garcinia_gardneriana";"Humiriastrum_dentatum";"Monteverdia_gonoclada";"Guarea_macrophylla";"Cabralea_canjerana";"Tapirira_guianensis";"Matayba_guianensis";"Miconia_cubatanensis";"Myrcia_vellozoi";"Myrcia_brasiliensis";"Myrcia_hebepetala";"Myrcia_bicarinata";"Eugenia_subglomerata";"Eugenia_sulcata";"Eugenia_astringens";"Eugenia_stigmatosa";"Myrcia_glabra";"Myrcia_splendens";"Heisteria_silvianii";"Guapira_opposita";"Posoqueria_latifolia";"Cordiera_myrciifolia";"Amaioua_intermedia";"Chionanthus_filiformis";"Didymopanax_angustissimus";"Ilex_dumosa";"Ilex_pseudobuxus";"Ilex_theezans";"Ternstroemia_brasiliensis";"Myrsine_venosa";"Manilkara_subsericea";"Pouteria_beaurepairei";"Podocarpus_sellowii";"Euterpe_edulis";"Bactris_setosa";"Geonoma_schottiana";"Astrocaryum_aculeatissimum";"Mollinedia_schottiana";"Aiouea_saligna";"Ocotea_pulchra";"Ocotea_dispersa";"Ocotea_pulchella";"Ocotea_venulosa";"Guatteria_australis";"Xylopia_langsdorffiana";"Andira_anthelmia";"Albizia_pedicellaris";"Pera_glabrata";"Croton_sphaerogynus";"Aparisthmium_cordatum";"Alchornea_triplinervia"
"Miconia_cubatanensis";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_vellozoi";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.548092304149819;0;0.0175416514301799;0.0175416514301799;0.0175416514301799;0.0175416514301799;0.0350794459216682;0.0512847254027553;0.0512847254027553;0.136752641078091;0.136752641078091;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_brasiliensis";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.548092304149819;0.0175416514301799;0;0.00425076387840323;0.0135916083385317;0.0135916083385317;0.0350794459216682;0.0512847254027553;0.0512847254027553;0.136752641078091;0.136752641078091;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_hebepetala";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.548092304149819;0.0175416514301799;0.00425076387840323;0;0.0135916083385317;0.0135916083385317;0.0350794459216682;0.0512847254027553;0.0512847254027553;0.136752641078091;0.136752641078091;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_bicarinata";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.548092304149819;0.0175416514301799;0.0135916083385317;0.0135916083385317;0;0.00494906950945304;0.0350794459216682;0.0512847254027553;0.0512847254027553;0.136752641078091;0.136752641078091;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Eugenia_subglomerata";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.548092304149819;0.0175416514301799;0.0135916083385317;0.0135916083385317;0.00494906950945304;0;0.0350794459216682;0.0512847254027553;0.0512847254027553;0.136752641078091;0.136752641078091;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Eugenia_sulcata";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.548092304149819;0.0350794459216682;0.0350794459216682;0.0350794459216682;0.0350794459216682;0.0350794459216682;0;0.0512847254027553;0.0512847254027553;0.136752641078091;0.136752641078091;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Eugenia_astringens";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.548092304149819;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0;0.0351672367040018;0.136752641078091;0.136752641078091;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Eugenia_stigmatosa";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.548092304149819;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0351672367040018;0;0.136752641078091;0.136752641078091;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_glabra";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.820717868297629;0.820717868297629;0.548092304149819;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0;0.0344460053539296;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.84776772699932;1.68735285700286;1.68735285700286;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
