"Byrsonima_ligustrifolia";"Erythroxylum_umbu";"Calophyllum_brasiliense";"Clusia_criuva";"Humiriastrum_dentatum";"Monteverdia_gonoclada";"Daphnopsis_racemosa";"Guarea_macrophylla";"Miconia_sp";"Miconia_flammea";"Miconia_cubatanensis";"Miconia_fasciculata";"Blepharocalyx_salicifolius";"Myrcia_brasiliensis";"Myrcia_hebepetala";"Myrcia_ilheosensis";"Myrcia_bicarinata";"Myrcia_glomerata";"Siphoneugena_guilfoyleiana";"Eugenia_sulcata";"Myrcia_racemosa";"Psidium_cattleyanum";"Myrcia_glabra";"Myrcia_splendens";"Myrcia_multiflora";"Myrcia_macrocarpa";"Guapira_opposita";"Cordiera_myrciifolia";"Amaioua_intermedia";"Jacaranda_puberula";"Didymopanax_angustissimus";"Ilex_dumosa";"Ilex_pseudobuxus";"Ilex_theezans";"Ternstroemia_brasiliensis";"Myrsine_coriacea";"Myrsine_venosa";"Clethra_scabra";"Pouteria_beaurepairei";"Euterpe_edulis";"Geonoma_schottiana";"Aiouea_saligna";"Nectandra_grandiflora";"Ocotea_pulchella";"Guatteria_australis";"Xylopia_langsdorffiana";"Albizia_pedicellaris";"Hirtella_hebeclada";"Pera_glabrata";"Alchornea_triplinervia"
"Myrcia_brasiliensis";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.0686333454791756;0;0.00425076387840323;0.00425076387840323;0.0135916083385317;0.0135916083385317;0.0350794459216682;0.0350794459216682;0.0512847254027553;0.136752641078091;0.136752641078091;0.136752641078091;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_hebepetala";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.0686333454791756;0.00425076387840323;0;0.00323721982171085;0.0135916083385317;0.0135916083385317;0.0350794459216682;0.0350794459216682;0.0512847254027553;0.136752641078091;0.136752641078091;0.136752641078091;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_ilheosensis";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.0686333454791756;0.00425076387840323;0.00323721982171085;0;0.0135916083385317;0.0135916083385317;0.0350794459216682;0.0350794459216682;0.0512847254027553;0.136752641078091;0.136752641078091;0.136752641078091;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_bicarinata";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.0686333454791756;0.0135916083385317;0.0135916083385317;0.0135916083385317;0;0.00494906950945304;0.0350794459216682;0.0350794459216682;0.0512847254027553;0.136752641078091;0.136752641078091;0.136752641078091;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_glomerata";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.0686333454791756;0.0135916083385317;0.0135916083385317;0.0135916083385317;0.00494906950945304;0;0.0350794459216682;0.0350794459216682;0.0512847254027553;0.136752641078091;0.136752641078091;0.136752641078091;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Siphoneugena_guilfoyleiana";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.0686333454791756;0.0350794459216682;0.0350794459216682;0.0350794459216682;0.0350794459216682;0.0350794459216682;0;0.016349498154158;0.0512847254027553;0.136752641078091;0.136752641078091;0.136752641078091;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Eugenia_sulcata";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.0686333454791756;0.0350794459216682;0.0350794459216682;0.0350794459216682;0.0350794459216682;0.0350794459216682;0.016349498154158;0;0.0512847254027553;0.136752641078091;0.136752641078091;0.136752641078091;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_racemosa";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.0686333454791756;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0.0512847254027553;0;0.136752641078091;0.136752641078091;0.136752641078091;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Psidium_cattleyanum";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0;0.0696813788193536;0.0696813788193536;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
"Myrcia_glabra";1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247;0.820717868297629;0.820717868297629;0.548092304149819;0.548092304149819;0.548092304149819;0.548092304149819;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.136752641078091;0.0696813788193536;0;0.0344460053539296;0.205161689874464;0.205161689874464;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.38377275336327;1.68735285700286;1.68735285700286;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.53957287108435;1.23072739952247;1.23072739952247;1.23072739952247;1.23072739952247
